incoming_found,incoming_length,incoming_start_x,incoming_start_y_from_centre,incoming_source_same_winner,incoming_seconds_before,incoming_high,incoming_low,incoming_ground,incoming_cross,incoming_switch,incoming_goal_kick,incoming_free_kick,incoming_corner,incoming_under_pressure,ahead_adv,behind_adv,central_adv,ahead_corridor_adv,behind_corridor_adv,mean_along_adv,flight_line_proximity_adv,winner_event_id
1.0,72.589325,108.8,13.399999999999999,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,-1.0,2.3379217275546207,0.40990948340612704,b5ab6aaa-b599-47d8-9b95-25c14d1c2340
1.0,10.060318,90.6,33.099999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,2.0,1.0,6.215102020166777,1.0364148123385968,e1364409-6232-4ff2-aacc-62f8aa04b4bc
1.0,16.949926,68.7,29.299999999999997,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,1.0,-1.0,-4.733961145571353,3.087021475015312,8d0021ab-96e1-4e73-9437-386f1048595e
1.0,12.704723,79.0,25.400000000000006,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,-2.0,2.2134581343817903,1.156038300000421,f0a910c0-6cbf-4add-b26b-a32e5ac8844f
1.0,42.45951,0.0,40.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,-2.3742584672485325,1.0671358802194655,9ace9e2e-5cb7-4b63-96d3-581186711fca
0.0,,,,,,,,,,,,,,,,,,,,,,a0fcee32-76ef-4bab-805a-70e286e16ca7
1.0,50.423904,114.8,2.8999999999999986,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,0.0,-1.0,3.1409366808102543,0.4980988193763029,e8fb9793-90bf-4ea9-a740-c2898ba4e29b
1.0,33.126575,0.0,40.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,2.0,-2.0,5.200558495582065,0.3395157573252252,ef020f7b-7753-4878-a1b9-f5c92c80c9f3
0.0,,,,,,,,,,,,,,,,,,,,,,77d4b509-4206-4036-9c19-727b563a2719
1.0,30.558796,31.400000000000006,10.600000000000001,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,-1.0,2.0,2.9283974638709225,0.5641475420070204,21ecf069-6f01-4d10-9ce5-7a9782da8151
1.0,41.749012,0.0,39.900000000000006,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,-1.1070758413531787,0.06711601609021,f1df8e1a-334e-4d22-a057-7b481b493ad2
1.0,73.54455,114.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,6.84777353286081,0.44296758393092034,7ae8e519-4800-40f0-b7c3-245767fdde54
1.0,12.107849,57.7,15.399999999999999,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,2.0,0.0,2.0,-7.179434914250807,0.3397994062424788,0649ad23-37f8-4461-8f8b-aa4733ed4864
1.0,8.0062475,40.4,35.7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-1.0,0.0,-1.0,7.752221223449161,0.38589861343438253,70aca46d-0bd0-40e5-b6ea-fe2336cd9750
