winner_event_id,match_id,target,p_setup_incoming_xgb,p_xgb_plus_residual_gnn,graph_logit_correction,is_clearance
4499fee0-2db7-4699-9576-9999d0e92627,3773386,0,0.07445356994867325,0.07732386142015457,0.04093288257718086,1
ddb5c2bf-12c6-4778-85d2-f6bf366cc1b8,3773386,0,0.06590626388788223,0.06824763864278793,0.037419114261865616,0
b5ab6aaa-b599-47d8-9b95-25c14d1c2340,3773386,0,0.2641284465789795,0.26319214701652527,-0.0048226965591311455,0
e1364409-6232-4ff2-aacc-62f8aa04b4bc,3773386,0,0.19505400955677032,0.1933353990316391,-0.010982799343764782,0
8d0021ab-96e1-4e73-9437-386f1048595e,3773386,0,0.0941028967499733,0.08827812224626541,-0.0703057274222374,0
f0a910c0-6cbf-4add-b26b-a32e5ac8844f,3773386,0,0.11869632452726364,0.12245356291532516,0.03543596342206001,0
9ace9e2e-5cb7-4b63-96d3-581186711fca,3773387,0,0.20221547782421112,0.2024129182100296,0.001223296858370304,1
a0fcee32-76ef-4bab-805a-70e286e16ca7,3773387,0,0.11071574687957764,0.10999086499214172,-0.00738369207829237,0
e8fb9793-90bf-4ea9-a740-c2898ba4e29b,3773387,0,0.2888798415660858,0.287200391292572,-0.008189587853848934,0
ef020f7b-7753-4878-a1b9-f5c92c80c9f3,3773387,0,0.385304719209671,0.3851335346698761,-0.0007228739559650421,1
77d4b509-4206-4036-9c19-727b563a2719,3773387,0,0.08131679892539978,0.08144310116767883,0.0016894647851586342,0
21ecf069-6f01-4d10-9ce5-7a9782da8151,3773387,0,0.2536604404449463,0.2525192201137543,-0.006036953069269657,1
f1df8e1a-334e-4d22-a057-7b481b493ad2,3773403,1,0.21884045004844666,0.21956086158752441,0.004209211096167564,1
7ae8e519-4800-40f0-b7c3-245767fdde54,3773403,0,0.30512216687202454,0.2893303334712982,-0.0756148248910904,1
0649ad23-37f8-4461-8f8b-aa4733ed4864,3773403,0,0.09135943651199341,0.08756501972675323,-0.046587225049734116,0
70aca46d-0bd0-40e5-b6ea-fe2336cd9750,3773403,0,0.11003036797046661,0.10393455624580383,-0.06382095813751221,0
f29a38e2-625d-4aa5-a22d-fac08fb2427e,3773403,0,0.2456469088792801,0.2485940158367157,0.015840444713830948,1
ccdbd3d2-7994-4805-8db2-c68c23cca1da,3773403,0,0.3354283571243286,0.34195658564567566,0.029147140681743622,1
98417e3c-ad89-40cb-a447-09425951698f,3773403,0,0.2878817617893219,0.28812095522880554,0.0011664964258670807,1
b3bc3b0c-0bc2-42ec-b654-ed46e252c18b,3773415,0,0.23010152578353882,0.23075233399868011,0.0036699697375297546,1
aff0df7d-c4a4-4013-aa89-e510e2b9c1a3,3773415,0,0.18336081504821777,0.18012714385986328,-0.02174483612179756,0
