match_id,competition,season,winner_event_id,split,target,winner_event_type,is_clearance,contest_x,contest_y,coverage_15m,loser_source_proxy,contestant_distance,nearest_winner_support,nearest_loser_support,second_winner_support,second_loser_support,winner_support_spread,loser_support_spread,winner_angular_concentration,loser_angular_concentration,support_centroid_gap,pass_length,pass_is_high,pass_is_low,winner_centroid_dx,winner_centroid_dy,loser_centroid_dx,loser_centroid_dy,winner_support_5m,loser_support_5m,support_advantage_5m,winner_support_10m,loser_support_10m,support_advantage_10m,winner_support_15m,loser_support_15m,support_advantage_15m
3930179,UEFA Euro,2024,4bcf25bd-e527-4608-9b22-52b06abc1d7a,train,0,Clearance,1,6.5,40.4,0.7629712804214731,1,2.2379138906773233,1.1944314088390964,7.069256248610186,4.069523201397466,11.117871586318765,7.586584477063097,5.8174941048928375,0.34103357292395875,0.7883754920892156,5.637868842382275,,0,0,2.987572719583639,-0.5637984951155229,5.8939282414983865,4.267212026932686,3,0,3,5,1,4,7,2,5
3930179,UEFA Euro,2024,e5a5145e-e629-4e01-ad7a-7a6960aacd8a,train,1,Pass,0,22.5,65.1,0.9996773293834856,0,1.4210721130318995,8.042315538526704,8.817723555870021,8.450244012450911,10.444866237672551,6.267017971827275,5.215632410066637,0.7504997268093354,0.8436970788913195,0.7075210203019643,12.813274,1,0,7.602407819137355,0.7226132627486498,8.13361855631964,0.2552791778892356,0,0,0,2,1,1,3,2,1
3930179,UEFA Euro,2024,dcd1f3eb-c529-4b20-96fc-f57c63aa0c12,train,0,Clearance,1,7.7,40.0,0.8118309353142262,1,0.9742163616683002,3.357407619165222,3.16230688318244,6.52333323343097,5.612939005127351,8.019709083335252,3.29446960140601,0.2529554601966792,0.6878332135488593,1.6275577941068802,,0,0,2.598987127189697,0.6753208461561044,2.196773397105889,2.2523967759990917,1,1,0,5,2,3,7,2,5
3930179,UEFA Euro,2024,6ce1d2ac-d85f-4d14-9243-60eb56625c5f,train,0,Pass,0,24.9,60.4,0.97592462832574,0,1.085841807272297,6.550301066376364,6.562688044965179,8.873808363622375,14.025797609005274,5.891159954544567,9.97268795409733,0.741485672425613,0.2860513031921454,0.4212955918967848,13.523683,0,1,-0.6850669500365356,-6.524844309625432,-1.1033647542154175,-6.474675367332535,0,0,0,2,1,1,3,3,0
3930179,UEFA Euro,2024,8975dcb1-bd5e-4960-8a38-a51724357e42,train,1,Pass,0,46.5,55.6,1.0,1,3.0426326842018976,9.81381049508489,8.407990790815463,9.919169003120869,8.7481961611072,8.014390058447589,9.055923370584056,0.5485174936914772,0.2982894748066217,2.5294766824164516,8.955445,1,0,-2.5167653438874105,4.955345863924572,-0.2655934452985331,3.801882656929097,0,0,0,2,3,-1,4,4,0
3930179,UEFA Euro,2024,cbb32a39-692a-4bda-8075-9dc3a280d95d,train,1,Clearance,1,7.5,38.0,0.804512786962465,1,3.2701492461253396,2.812259958378466,4.247826975479605,4.519878440238327,6.25541035563608,7.760934352682389,6.384133417153018,0.23609226032558098,0.3694623478604837,4.369451576183725,,0,0,2.275096429679946,0.7288988331685786,-1.7361740106949928,-1.003676282313774,3,1,2,5,3,2,7,3,4
3930179,UEFA Euro,2024,e0e5cb63-95f4-4fa3-905f-bfa41fd45aa8,train,1,Clearance,1,8.8,34.0,0.829626251472452,1,0.1952575766306,2.840844577377278,4.395127820692204,4.29670375486274,10.388091029492024,7.431602351404852,7.425401037267466,0.52619688362527,0.768069603188155,5.491098126181501,,0,0,1.9112491958853408,3.649834752244015,7.262849121046852,4.879687130525772,2,1,1,3,1,2,6,5,1
3930179,UEFA Euro,2024,2368e868-b5a3-417e-8158-e06d8c759abe,train,1,Pass,0,93.7,20.4,1.0,0,0.3404977890849106,7.853521982002242,6.932682632737183,8.522852444632788,6.9700179538538585,10.32994813677056,7.7211256974952525,0.11937955658845813,0.5497163275112018,6.086652431347677,16.052725,1,0,0.3168904579143164,-0.976688673785039,-0.18138964483216852,5.089533771793225,0,0,0,2,3,-1,3,5,-2
3930179,UEFA Euro,2024,3067933f-ed28-4542-a675-8602c1f4fceb,train,0,Pass,0,75.7,14.2,0.9926764409587651,1,1.8463171006296437,7.560077407836826,2.892669172767701,9.03652215835831,7.2523494543530225,8.953390802102856,5.154502587672751,0.4913710504338334,0.7216945151928088,4.007673581166817,24.300205,1,0,-4.557889114628736,4.473834569473882,-0.5521474278132151,4.349411614635134,0,1,-1,2,3,-1,3,3,0
3930180,UEFA Euro,2024,a4530695-00fe-4427-a809-4cbddc6b4d2b,train,0,Pass,0,28.1,6.9,0.7821750095484689,0,0.8618849407899773,4.366217325320474,,12.811110330220139,,4.578203365302846,,0.9716106960759348,,,11.926861,1,0,6.64789895683699,5.141954318944915,,,1,0,1,1,0,1,2,0,2
