player,np goals,xgot,npxg,shots,sot,assists,xa,succesful passes,succesful passes %,accurate long balls,accurate long balls %,chances created,succesful crosses,succesful crosses %,succesful dribbles,succesful dribbles %,touches,touches in opp box,dispossesed,fouls won,tackles,duels won,duels won %,aerial duels won,aetial duels won %,interceptions,blocked shots,recoveries,possesion won final 3rd,dribbled past,yellow cards,minutes,np goals_per90,xgot_per90,npxg_per90,shots_per90,sot_per90,assists_per90,xa_per90,succesful passes_per90,chances created_per90,succesful crosses_per90,succesful dribbles_per90,touches_per90,touches in opp box_per90,dispossesed_per90,fouls won_per90,tackles_per90,duels won_per90,aerial duels won_per90,interceptions_per90,blocked shots_per90,recoveries_per90,possesion won final 3rd_per90,dribbled past_per90,yellow cards_per90,cluster_id,performance_offset,confidence_weight,smoothed_score,final_rating
jesper gustavsson,0.0,0.0,0.13,2.0,0.0,0.0,1.11,1276.0,84.1,55.0,35.5,7.0,2.0,40.0,6.0,46.2,1886.0,8.0,-10.0,45.0,50.0,120.0,54.8,19.0,48.7,31.0,20.0,150.0,10.0,-28.0,-8.0,2339.0,0.0,0.0,0.0050021376656690895,0.07695596408721675,0.0,0.0,0.042710560068405304,49.09790508764429,0.26934587430525864,0.07695596408721675,0.23086789226165028,72.5694741342454,0.307823856348867,-0.38477982043608383,1.731509191962377,1.923899102180419,4.6173578452330055,0.7310816588285591,1.1928174433518597,0.7695596408721677,5.771697306541257,0.38477982043608383,-1.0773834972210345,-0.307823856348867,4,-0.5599177245420404,1.0,-0.5599177245420404,0.9015814220187914
ludvig svanberg,0.0,0.0,0.04,1.0,0.0,0.0,0.02,77.0,95.1,3.0,75.0,0.0,0.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,2.0,6.0,40.0,4.0,36.4,1.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.03185840707964602,0.7964601769911505,0.0,0.0,0.01592920353982301,61.32743362831858,0.0,0.0,0.0,74.070796460177,0.7964601769911505,0.0,0.0,1.592920353982301,4.778761061946903,3.185840707964602,0.7964601769911505,0.0,0.0,0.0,0.0,0.0,1,0.1848709535187143,0.6961409257526509,0.12869623672729305,5.373884276755968
ludvig Tidstrand,1.0,0.7,0.48,3.0,1.0,1.0,0.32,76.0,77.6,1.0,25.0,4.0,0.0,0.0,2.0,20.0,172.0,5.0,-6.0,3.0,9.0,18.0,33.3,4.0,22.2,4.0,1.0,20.0,4.0,-3.0,-1.0,236.0,0.3813559322033898,0.26694915254237284,0.18305084745762712,1.1440677966101696,0.3813559322033898,0.3813559322033898,0.12203389830508475,28.983050847457626,1.5254237288135593,0.0,0.7627118644067796,65.59322033898304,1.906779661016949,-2.288135593220339,1.1440677966101696,3.4322033898305087,6.864406779661017,1.5254237288135593,1.5254237288135593,0.3813559322033898,7.627118644067796,1.5254237288135593,-1.1440677966101696,-0.3813559322033898,0,0.41351901998224405,0.8037121945368114,0.3323502790326409,6.696544876175236
Ludwig thorell,3.0,2.0,1.68,20.0,6.0,2.0,2.62,508.0,84.9,24.0,60.0,20.0,7.0,28.0,21.0,50.0,858.0,29.0,-22.0,13.0,17.0,57.0,43.5,7.0,58.3,8.0,1.0,34.0,6.0,-11.0,-4.0,1249.0,0.21617293835068052,0.14411529223378702,0.1210568454763811,1.4411529223378703,0.43234587670136104,0.14411529223378702,0.18879103282626103,36.6052842273819,1.4411529223378703,0.5044035228182546,1.5132105684547639,61.825460368294635,2.089671737389912,-1.5852682145716575,0.9367493995196157,1.2249799839871898,4.10728582866293,0.5044035228182546,0.5764611689351481,0.07205764611689351,2.4499599679743795,0.43234587670136104,-0.7926341072858287,-0.28823058446757405,2,0.4621401295253118,1.0,0.4621401295253118,7.5394838107915385
Romeo Leandersson(17),0.0,0.0,0.0,0.0,0.0,1.0,0.17,119.0,82.6,2.0,40.0,5.0,0.0,0.0,2.0,28.6,221.0,2.0,-4.0,11.0,8.0,23.0,47.9,2.0,25.0,0.0,3.0,20.0,0.0,-4.0,-1.0,383.0,0.0,0.0,0.0,0.0,0.0,0.2349869451697128,0.03994778067885118,27.963446475195823,1.1749347258485638,0.0,0.4699738903394256,51.932114882506525,0.4699738903394256,-0.9399477806788512,2.584856396866841,1.8798955613577024,5.404699738903394,0.4699738903394256,0.0,0.7049608355091384,4.699738903394255,0.0,-0.9399477806788512,-0.2349869451697128,1,-0.3209568919949177,0.8746436325500216,-0.2807229019063998,2.714852532583511
Timo Stavitski,1.0,2.21,2.69,28.0,11.0,0.0,1.53,281.0,78.7,6.0,50.0,12.0,5.0,13.2,11.0,37.9,616.0,47.0,-8.0,12.0,15.0,49.0,43.0,11.0,52.4,4.0,2.0,39.0,2.0,-8.0,-2.0,966.0,0.09316770186335405,0.2059006211180124,0.2506211180124224,2.608695652173913,1.0248447204968945,0.0,0.1425465838509317,26.180124223602483,1.1180124223602483,0.4658385093167702,1.0248447204968945,57.39130434782608,4.37888198757764,-0.7453416149068324,1.1180124223602483,1.3975155279503106,4.565217391304348,1.0248447204968945,0.3726708074534162,0.1863354037267081,3.6335403726708075,0.1863354037267081,-0.7453416149068324,-0.1863354037267081,2,-0.22978740838840161,1.0,-0.22978740838840161,3.0456604538287975
Tom Pettersson,6.0,4.9,4.89,26.0,10.0,0.0,0.67,836.0,87.2,47.0,48.0,7.0,3.0,33.3,0.0,0.0,1270.0,56.0,-2.0,19.0,24.0,97.0,64.7,54.0,62.8,29.0,20.0,58.0,3.0,-3.0,-1.0,1620.0,0.33333333333333337,0.27222222222222225,0.27166666666666667,1.4444444444444446,0.5555555555555556,0.0,0.037222222222222226,46.44444444444444,0.38888888888888884,0.16666666666666669,0.0,70.55555555555556,3.1111111111111107,-0.1111111111111111,1.0555555555555556,1.3333333333333335,5.388888888888889,3.0,1.6111111111111112,1.1111111111111112,3.2222222222222223,0.16666666666666669,-0.16666666666666669,-0.05555555555555555,4,-0.22216908393800802,1.0,-0.22216908393800802,3.0951387625825215
Tony Miettinen,0.0,0.0,0.0,0.0,0.0,0.0,0.05,56.0,82.4,2.0,40.0,0.0,0.0,0.0,1.0,33.3,94.0,1.0,-1.0,0.0,4.0,7.0,63.6,2.0,66.7,0.0,0.0,7.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03237410071942446,36.2589928057554,0.0,0.0,0.6474820143884893,60.86330935251799,0.6474820143884893,-0.6474820143884893,0.0,2.589928057553957,4.532374100719425,1.2949640287769786,0.0,0.0,4.532374100719425,0.0,0.0,0.0,1,-0.04897857908270182,0.7263377090923949,-0.03557498892553032,4.307001069677119
Uba Charles,1.0,0.27,0.3,6.0,1.0,0.0,1.06,174.0,78.7,2.0,22.2,13.0,6.0,46.2,11.0,44.0,383.0,32.0,-8.0,0.0,35.0,53.0,49.5,7.0,38.9,8.0,1.0,28.0,0.0,-9.0,-1.0,486.0,0.1851851851851852,0.05,0.05555555555555555,1.1111111111111112,0.1851851851851852,0.0,0.1962962962962963,32.22222222222222,2.4074074074074074,1.1111111111111112,2.037037037037037,70.92592592592592,5.9259259259259265,-1.4814814814814816,0.0,6.481481481481482,9.814814814814815,1.2962962962962963,1.4814814814814816,0.1851851851851852,5.185185185185185,0.0,-1.6666666666666665,-0.1851851851851852,5,0.0,0.9095699773528174,0.0,4.538047974732046
Viktor Gustafsson,3.0,1.83,1.6,24.0,7.0,5.0,4.19,817.0,80.8,21.0,48.8,26.0,11.0,26.2,6.0,20.7,1390.0,56.0,-13.0,33.0,44.0,94.0,44.5,12.0,29.3,15.0,12.0,92.0,16.0,-15.0,-4.0,1989.0,0.13574660633484165,0.08280542986425339,0.07239819004524888,1.0859728506787332,0.3167420814479638,0.22624434389140274,0.18959276018099547,36.9683257918552,1.1764705882352942,0.497737556561086,0.2714932126696833,62.89592760180995,2.5339366515837103,-0.5882352941176471,1.493212669683258,1.990950226244344,4.253393665158371,0.5429864253393666,0.6787330316742082,0.5429864253393666,4.16289592760181,0.7239819004524886,-0.6787330316742082,-0.18099547511312214,2,-0.3107867439611639,1.0,-0.3107867439611639,2.5195985670698775
